name	type_id	id	lat	lng
Santoor萨都里印度餐厅	1	29586834	39.942369	116.403101	30
马克西姆餐厅	1	8157	39.900267	116.417778	30
乔外婆(东铁营店)	1	29595802	39.85818	116.432079	30
三友町焼き鳥満腹(一号店)	1	29589146	39.9478	116.415649	30
院落创意菜(新世界百货崇文店)	1	29592190	39.897597	116.418022	30
喜肉膳微烤肉	1	29570822	39.95335	116.321363	30
湘爱(凤凰汇店)	1	29597502	39.962905	116.45521	30
巴音浩日娲酒楼(八大处店)	1	29584646	39.947056	116.199073	31
动物园服装批发市场	4	21663	39.936901092529	116.33899688721	31
金鼎轩南北菜(方庄店)	1	29595458	39.865534	116.431907	31
眉州东坡(远洋未来广场店)	1	29594694	39.989947	116.43248	31
菊儿人家	1	7377548	39.939706	116.403889	31
东岳庙	3	22094	39.923886186261	116.4441049546	31
中国油画院	3	33786800	39.899923	116.543441	31
极地边城(三里屯店)	1	833566	39.94596	116.45393	31
奇葩-不只是麻辣烫	1	29594542	39.936153	116.454326	31
安妮意大利餐厅(国贸店)	1	29597958	39.906326	116.465259	31
北平楼(安华桥黄寺店)	1	13013139	39.96322	116.39525	31
日進蒸集令(三里屯店)	1	29598614	39.932322	116.45322	31
很久以前羊肉串(方庄店)	1	29589814	39.865638	116.432058	31
杨记兴臭鳜鱼(联想桥店)	1	29595990	39.970382	116.333625	31
十渡孤山寨农家院	1	29405814	39.640999999969	115.63283000015	31
度小月(侨福芳草地购物中心店)	1	29591310	39.918794	116.448372	32
十八茶膳	1	29596002	39.934872	116.406731	32
